Process_Dating,Trade_ID,Transaction_Date,Currency,Customer_ID,Encum_Status,Product_Type,PV,PV_CDE,Encum_Mat_Date,Margin_Type,Security_ID,Post_Direction,CSA_ID,Quantity
2019-07-31,T16_0085,2019-07-01,CAD,C003,0,Cash,296000,296000,2020-09-01,Initial Margin,,Deliv to Bank,IDM CSA,
2019-07-31,T16_0087,2019-07-08,KRW,C003,0,Cash,404944586.5,475000,2019-11-17,Variation Margin,,Deliv to Bank,IDM CSA,
2019-07-31,T16_0092,2019-07-13,JPY,C003,0,Cash,16101297.48,206000,2019-10-15,Variation Margin,,Deliv to Bank,IDM CSA,
2019-07-31,T16_0096,2019-07-22,GBP,C003,0,Security,67550.08,116676.49,2020-06-29,Variation Margin,G19081101,Deliv to Cpty,IDM CSA,8000
2019-07-31,T16_0097,2019-07-23,GBP,C003,0,Cash,94948.12,164000,2020-07-27,Variation Margin,,Deliv to Cpty,IDM CSA,
2019-07-31,T16_0008,2019-01-10,CNY,C004,0,Cash,1785133.05,351000,2019-09-19,Variation Margin,,Deliv to Cpty,IDM CSA,
2019-07-31,T16_0013,2019-01-13,GBP,C004,0,Security,505649.12,873387,2020-01-01,Variation Margin,G924502M9,Deliv to Bank,IDM CSA,9000
2019-07-31,T16_0034,2019-03-16,EUR,C004,0,Cash,328890.57,480000,2019-12-04,Variation Margin,,Deliv to Bank,IDM CSA,
2019-07-31,T16_0035,2019-03-18,GBP,C004,0,Cash,273844.28,473000,2019-09-25,Variation Margin,,Deliv to Cpty,IDM CSA,
2019-07-31,T16_0044,2019-04-06,GBP,C004,0,Cash,277317.99,479000,2019-07-29,Variation Margin,,Deliv to Cpty,IDM CSA,
2019-07-31,T16_0051,2019-04-28,USD,C004,0,Security,666501.21,870084,2020-03-31,Variation Margin,912810EZ7,Deliv to Cpty,IDM CSA,9000
2019-07-31,T16_0064,2019-05-26,EUR,C004,0,Security,89285.26,130307.56,2019-09-05,Variation Margin,D03080112,Deliv to Cpty,IDM CSA,10000
2019-07-31,T16_0100,2019-07-30,CAD,C004,0,Security,488570,488570,2020-03-21,Variation Margin,13509PFN8,Deliv to Bank,IDM CSA,5000
2019-07-31,T16_0010,2019-01-11,USD,C005,0,Cash,206059.21,269000,2019-09-20,Variation Margin,,Deliv to Bank,TB Bank CSA,
2019-07-31,T16_0012,2019-01-12,JPY,C005,0,Security,33098775.89,423465.74,2019-07-07,Variation Margin,S0013,Deliv to Bank,TB Bank CSA,7000
2019-07-31,T16_0020,2019-02-12,CNY,C005,0,Cash,2095369.84,412000,2019-07-24,Variation Margin,,Deliv to Cpty,TB Bank CSA,
2019-07-31,T16_0042,2019-03-28,CAD,C005,0,Cash,383000,383000,2020-01-02,Variation Margin,,Deliv to Cpty,TB Bank CSA,
2019-07-31,T16_0046,2019-04-09,JPY,C005,0,Cash,12115053.93,155000,2019-12-30,Initial Margin,,Deliv to Bank,TB Bank CSA,
2019-07-31,T16_0070,2019-06-04,EUR,C005,0,Security,100346.73,146451.24,2020-04-12,Variation Margin,D94523103,Deliv to Bank,TB Bank CSA,10000
2019-07-31,T16_0072,2019-06-08,CAD,C005,0,Security,879426,879426,2020-06-04,Variation Margin,13509PFN8,Deliv to Bank,TB Bank CSA,9000
2019-07-31,T16_0088,2019-07-10,CAD,C005,100,Security,685503,685503,2019-10-11,Variation Margin,S0015,Deliv to Cpty,TB Bank CSA,7000
2019-07-31,T16_0099,2019-07-28,CAD,C005,0,Security,587574,587574,2020-01-08,Variation Margin,S0015,Deliv to Bank,TB Bank CSA,6000
2019-07-31,T16_0002,2019-01-05,USD,C006,0,Cash,169290.28,221000,2019-03-16,Variation Margin,,Deliv to Bank,JD Morgan CSA,
2019-07-31,T16_0009,2019-01-10,USD,C006,0,Cash,205293.19,268000,2019-09-02,Variation Margin,,Deliv to Bank,JD Morgan CSA,
2019-07-31,T16_0018,2019-01-30,USD,C006,100,Security,100394.08,131059.46,2019-09-13,Variation Margin,884903105,Deliv to Bank,JD Morgan CSA,10000
2019-07-31,T16_0021,2019-02-14,JPY,C006,0,Cash,37126778.18,475000,2019-10-06,Variation Margin,,Deliv to Bank,JD Morgan CSA,
2019-07-31,T16_0030,2019-03-08,CAD,C006,0,Security,82962.29,82962.29,2019-12-29,Variation Margin,112585740,Deliv to Cpty,JD Morgan CSA,9000
2019-07-31,T16_0032,2019-03-10,CAD,C006,0,Security,46090.16,46090.16,2019-07-13,Variation Margin,112585740,Deliv to Cpty,JD Morgan CSA,5000
2019-07-31,T16_0036,2019-03-20,KRW,C006,0,Cash,144075021.3,169000,2019-07-21,Variation Margin,,Deliv to Cpty,JD Morgan CSA,
2019-07-31,T16_0040,2019-03-25,CAD,C006,100,Security,310351.24,310351.24,2019-07-15,Variation Margin,699320206,Deliv to Bank,JD Morgan CSA,6000
2019-07-31,T16_0050,2019-04-14,USD,C006,100,Security,214396.99,279884.55,2019-06-23,Variation Margin,146229109,Deliv to Bank,JD Morgan CSA,9000
2019-07-31,T16_0058,2019-05-10,USD,C006,0,Cash,153203.88,200000,2020-01-12,Initial Margin,,Deliv to Cpty,JD Morgan CSA,
2019-07-31,T16_0059,2019-05-15,EUR,C006,0,Security,70242.71,102515.87,2019-11-02,Variation Margin,D94523103,Deliv to Bank,JD Morgan CSA,7000
2019-07-31,T16_0063,2019-05-23,EUR,C006,0,Cash,271334.72,396000,2019-09-08,Variation Margin,,Deliv to Bank,JD Morgan CSA,
2019-07-31,T16_0066,2019-05-31,USD,C006,0,Security,591630.47,772344,2019-10-26,Variation Margin,912828WT3,Deliv to Bank,JD Morgan CSA,8000
2019-07-31,T16_0081,2019-06-28,GBP,C006,100,Security,42218.8,72922.81,2020-09-12,Initial Margin,G19081101,Deliv to Bank,JD Morgan CSA,5000
2019-07-31,T16_0084,2019-07-01,CAD,C006,0,Security,683998,683998,2019-09-26,Variation Margin,13509PFN8,Deliv to Cpty,JD Morgan CSA,7000
2019-07-31,T16_0089,2019-07-11,USD,C006,0,Security,546218.2,713060.55,2020-03-21,Variation Margin,00507V109,Deliv to Cpty,JD Morgan CSA,9000
2019-07-31,T16_0011,2019-01-12,EUR,C007,0,Cash,300112.65,438000,2019-12-21,Variation Margin,,Deliv to Bank,Somy CSA,
2019-07-31,T16_0026,2019-02-27,GBP,C007,0,Cash,126790.48,219000,2019-06-18,Variation Margin,,Deliv to Cpty,Somy CSA,
2019-07-31,T16_0037,2019-03-20,HKD,C007,0,Security,1551693.92,261089.57,2019-08-04,Variation Margin,Y14965100,Deliv to Cpty,Somy CSA,6000
2019-07-31,T16_0057,2019-05-05,JPY,C007,0,Cash,37048616.54,474000,2019-12-01,Variation Margin,,Deliv to Bank,Somy CSA,
2019-07-31,T16_0074,2019-06-13,GBP,C007,100,Security,393282.65,679301,2020-06-12,Variation Margin,G924502M9,Deliv to Cpty,Somy CSA,7000
2019-07-31,T16_0076,2019-06-15,USD,C007,0,Cash,297981.54,389000,2020-06-09,Variation Margin,,Deliv to Cpty,Somy CSA,
2019-07-31,T16_0079,2019-06-22,EUR,C007,0,Security,53571.16,78184.53,2020-03-15,Variation Margin,D03080112,Deliv to Cpty,Somy CSA,6000
2019-07-31,T16_0080,2019-06-25,GBP,C007,0,Cash,130843.15,226000,2019-12-25,Variation Margin,,Deliv to Bank,Somy CSA,
2019-07-31,T16_0090,2019-07-11,GBP,C007,0,Cash,79895.37,138000,2020-03-27,Initial Margin,,Deliv to Bank,Somy CSA,
2019-07-31,T16_0006,2019-01-09,USD,C008,0,Security,485527.29,633831.6,2019-10-17,Variation Margin,00507V109,Deliv to Cpty,Maple CSA,8000
2019-07-31,T16_0019,2019-02-02,EUR,C008,0,Cash,332316.51,485000,2019-05-22,Variation Margin,,Deliv to Cpty,Maple CSA,
2019-07-31,T16_0022,2019-02-17,EUR,C008,0,Cash,84963.4,124000,2019-08-17,Variation Margin,,Deliv to Bank,Maple CSA,
2019-07-31,T16_0028,2019-02-28,USD,C008,100,Security,299192.96,390581.45,2020-02-05,Variation Margin,35906A108,Deliv to Bank,Maple CSA,5000
2019-07-31,T16_0048,2019-04-11,CAD,C008,0,Security,334336.03,334336.03,2020-01-21,Variation Margin,960410504,Deliv to Bank,Maple CSA,6000
2019-07-31,T16_0049,2019-04-14,JPY,C008,0,Security,37827172.44,483960.84,2019-09-18,Variation Margin,S0013,Deliv to Cpty,Maple CSA,8000
2019-07-31,T16_0055,2019-05-03,CAD,C008,0,Security,73744.26,73744.26,2020-09-01,Variation Margin,112585740,Deliv to Cpty,Maple CSA,8000
2019-07-31,T16_0065,2019-05-30,CAD,C008,0,Security,92180.33,92180.33,2019-12-12,Variation Margin,112585740,Deliv to Bank,Maple CSA,10000
2019-07-31,T16_0068,2019-06-02,USD,C008,0,Security,50197.04,65529.73,2019-11-16,Variation Margin,884903105,Deliv to Cpty,Maple CSA,5000
2019-07-31,T16_0077,2019-06-16,GBP,C008,0,Cash,209001.66,361000,2020-06-10,Variation Margin,,Deliv to Bank,Maple CSA,
2019-07-31,T16_0086,2019-07-06,JPY,C008,100,Security,42555568.99,544455.95,2019-09-05,Variation Margin,S0013,Deliv to Cpty,Maple CSA,9000
2019-07-31,T16_0091,2019-07-11,CAD,C008,100,Security,881361,881361,2020-09-10,Variation Margin,S0015,Deliv to Bank,Maple CSA,9000
2019-07-31,T16_0098,2019-07-28,JPY,C008,0,Security,28370379.33,362970.63,2020-04-19,Variation Margin,S0013,Deliv to Bank,Maple CSA,6000
2019-07-31,T16_0007,2019-01-09,GBP,C009,0,Cash,247212.49,427000,2019-08-04,Variation Margin,,Deliv to Bank,Noba Chem CSA,
2019-07-31,T16_0015,2019-01-18,USD,C009,100,Security,90354.68,117953.51,2019-09-29,Variation Margin,884903105,Deliv to Bank,Noba Chem CSA,9000
2019-07-31,T16_0017,2019-01-30,CAD,C009,0,Cash,464000,464000,2019-08-24,Variation Margin,,Deliv to Bank,Noba Chem CSA,
2019-07-31,T16_0024,2019-02-21,HKD,C009,100,Security,2068925.23,348119.43,2019-11-30,Variation Margin,Y14965100,Deliv to Bank,Noba Chem CSA,8000
2019-07-31,T16_0056,2019-05-03,USD,C009,0,Security,90354.68,117953.51,2019-09-30,Variation Margin,884903105,Deliv to Bank,Noba Chem CSA,9000
2019-07-31,T16_0062,2019-05-23,CNY,C009,0,Cash,1047684.92,206000,2019-11-14,Variation Margin,,Deliv to Bank,Noba Chem CSA,
2019-07-31,T16_0075,2019-06-14,CAD,C009,100,Security,46090.16,46090.16,2020-03-27,Variation Margin,112585740,Deliv to Bank,Noba Chem CSA,5000
2019-07-31,T16_0003,2019-01-06,CAD,C010,0,Security,55308.2,55308.2,2019-04-23,Variation Margin,112585740,Deliv to Bank,Cetegroup CSA,6000
2019-07-31,T16_0025,2019-02-25,USD,C010,0,Cash,321728.14,420000,2019-09-03,Variation Margin,,Deliv to Cpty,Cetegroup CSA,
2019-07-31,T16_0029,2019-02-28,USD,C010,0,Security,591630.47,772344,2019-06-19,Initial Margin,912828WT3,Deliv to Bank,Cetegroup CSA,8000
2019-07-31,T16_0031,2019-03-08,CAD,C010,0,Security,82962.29,82962.29,2019-05-30,Variation Margin,112585740,Deliv to Bank,Cetegroup CSA,9000
2019-07-31,T16_0038,2019-03-23,KRW,C010,0,Cash,243819266.8,286000,2020-01-30,Variation Margin,,Deliv to Cpty,Cetegroup CSA,
2019-07-31,T16_0039,2019-03-24,USD,C010,0,Security,443722.85,579258,2019-12-14,Variation Margin,912828WT3,Deliv to Bank,Cetegroup CSA,6000
2019-07-31,T16_0041,2019-03-26,CNY,C010,0,Cash,925624.54,182000,2020-01-03,Variation Margin,,Deliv to Bank,Cetegroup CSA,
2019-07-31,T16_0043,2019-04-01,CAD,C010,0,Security,501504.04,501504.04,2019-07-07,Variation Margin,960410504,Deliv to Cpty,Cetegroup CSA,9000
2019-07-31,T16_0054,2019-05-02,CAD,C010,0,Cash,363000,363000,2019-07-14,Variation Margin,,Deliv to Cpty,Cetegroup CSA,
2019-07-31,T16_0060,2019-05-19,KRW,C010,0,Cash,232736572.9,273000,2020-04-01,Variation Margin,,Deliv to Bank,Cetegroup CSA,
2019-07-31,T16_0073,2019-06-11,CNY,C010,0,Cash,879851.9,173000,2019-09-05,Initial Margin,,Deliv to Bank,Cetegroup CSA,
2019-07-31,T16_0078,2019-06-21,GBP,C010,0,Security,84437.6,145845.61,2020-03-24,Variation Margin,G19081101,Deliv to Cpty,Cetegroup CSA,10000
2019-07-31,T16_0082,2019-06-29,HKD,C010,0,Security,2327540.88,391634.36,2019-09-17,Variation Margin,Y14965100,Deliv to Cpty,Cetegroup CSA,9000
2019-07-31,T16_0083,2019-06-30,HKD,C010,0,Security,2068925.23,348119.43,2020-02-21,Variation Margin,Y14965100,Deliv to Cpty,Cetegroup CSA,8000
